Course Name,Category,Course Website,Duration,Duration Term,Study Mode
 Physics ,1st Cycle Degrees,https://www.ubi.pt/en/course/1097,360,"ect ,1 year= 60 ect",
Biochemistry ,1st Cycle Degrees,https://www.ubi.pt/en/course/25,180,"ect ,1 year= 60 ect",Daytime
Bioengineering *,1st Cycle Degrees,https://www.ubi.pt/en/course/915,180,"ect ,1 year= 60 ect",Daytime
Biomedical Sciences ,1st Cycle Degrees,https://www.ubi.pt/en/course/816,180,"ect ,1 year= 60 ect",Daytime
Biotechnology ,1st Cycle Degrees,https://www.ubi.pt/en/course/904,180,"ect ,1 year= 60 ect",Daytime
Cinema ,1st Cycle Degrees,https://www.ubi.pt/en/course/57,180,"ect ,1 year= 60 ect",Daytime
Communication Sciences ,1st Cycle Degrees,https://www.ubi.pt/en/course/66,180,"ect ,1 year= 60 ect",Daytime
Computer Science and Engineering ,1st Cycle Degrees,https://www.ubi.pt/en/course/42,180,"ect ,1 year= 60 ect",Daytime
Economics ,1st Cycle Degrees,https://www.ubi.pt/en/course/29,180,"ect ,1 year= 60 ect",Daytime
Electrical and Computer Engineering ,1st Cycle Degrees,https://www.ubi.pt/en/course/27,180,"ect ,1 year= 60 ect",Daytime
Electromechanical Engineering ,1st Cycle Degrees,https://www.ubi.pt/en/course/8,180,"ect ,1 year= 60 ect",Daytime
Engenharia Civil ,1st Cycle Degrees,https://www.ubi.pt/en/course/1092,180,"ect ,1 year= 60 ect",
Fashion Design ,1st Cycle Degrees,https://www.ubi.pt/en/course/30,180,"ect ,1 year= 60 ect",Daytime
Industrial Chemistry ,1st Cycle Degrees,https://www.ubi.pt/en/course/71,180,"ect ,1 year= 60 ect",Daytime
Industrial Design ,1st Cycle Degrees,https://www.ubi.pt/en/course/75,180,"ect ,1 year= 60 ect",Daytime
Industrial Engineering and Management ,1st Cycle Degrees,https://www.ubi.pt/en/course/1064,180,"ect ,1 year= 60 ect",
Information Technologies and Systems *,1st Cycle Degrees,https://www.ubi.pt/en/course/64,180,"ect ,1 year= 60 ect",Daytime
Management ,1st Cycle Degrees,https://www.ubi.pt/en/course/28,180,"ect ,1 year= 60 ect",Daytime
Marketing ,1st Cycle Degrees,https://www.ubi.pt/en/course/54,180,"ect ,1 year= 60 ect",Daytime
Mathematics and Applications ,1st Cycle Degrees,https://www.ubi.pt/en/course/1084,180,"ect ,1 year= 60 ect",
Medicinal Chemistry *,1st Cycle Degrees,https://www.ubi.pt/en/course/937,180,"ect ,1 year= 60 ect",Daytime
Multimedia Design ,1st Cycle Degrees,https://www.ubi.pt/en/course/33,180,"ect ,1 year= 60 ect",Daytime
Optometry and Vision Sciences ,1st Cycle Degrees,https://www.ubi.pt/en/course/2,180,"ect ,1 year= 60 ect",Daytime
Political Science and International Relations ,1st Cycle Degrees,https://www.ubi.pt/en/course/893,360,"ect ,1 year= 60 ect",Daytime
Portuguese and Spanish Studies ,1st Cycle Degrees,https://www.ubi.pt/en/course/36,180,"ect ,1 year= 60 ect",Daytime
Psychology ,1st Cycle Degrees,https://www.ubi.pt/en/course/45,180,"ect ,1 year= 60 ect",Daytime
Sciences of Culture ,1st Cycle Degrees,https://www.ubi.pt/en/course/948,180,"ect ,1 year= 60 ect",Daytime
Sociology ,1st Cycle Degrees,https://www.ubi.pt/en/course/74,180,"ect ,1 year= 60 ect",Daytime
